numrooms,squaremeters,numberoffloors,floor,price,district,street,builtyear,ceilinghight,isnewbuilding,seller,bathroomtype,residentialcomplex,repaired,city
4,80.0,1.0,1.0,30000000,жетысуский,,1984,2.8,False,крыша агент,совмещенный,,,Алматы
3,93.0,7.0,6.0,64000000,медеуский,,2022,2.8,False,крыша агент,2 с/у и более,,дргуой ремонт,Алматы
1,26.4,4.0,2.0,16900000,алатауский,,2023,2.8,False,крыша агент,совмещенный,,,Алматы
2,65.4,16.0,8.0,47000000,ауэзовский,,2022,2.7,False,крыша агент,,taugul,,Алматы
2,62.2,18.0,3.0,38800000,алмалинский,,2012,2.8,False,крыша агент,совмещенный,алтын булак,,Алматы
2,80.0,3.0,1.0,59000000,наурызбайский,,2022,3.0,False,крыша агент,совмещенный,harmony 2,требует ремонта,Алматы
4,123.25,,,60022750,турксибский,,2025,3.0,True,новостройка,2 с/у и более,dream city. family,,Алматы
3,92.72,,,39865300,алатауский,,2024,2.7,True,новостройка,2 с/у и более,arena park,,Алматы
4,160.0,22.0,16.0,135000000,бостандыкский,,2014,3.0,False,хозяин недвижимости,2 с/у и более,бухар жырау тауэрс,,Алматы
2,50.3,18.0,3.0,40000000,бостандыкский,,2015,2.95,False,специалист,,шахристан,,Алматы
3,73.1,13.0,10.0,78900000,алмалинский,,2021,3.0,False,крыша агент,2 с/у и более,lamiya,,Алматы
2,67.0,4.0,4.0,31000000,турксибский,,2023,3.0,False,крыша агент,,атмосфера,черновая отделка,Алматы
2,76.6,,,80430000,бостандыкский,,2024,3.0,True,новостройка,совмещенный,metropole,,Алматы
2,80.44,,,156858000,бостандыкский,,2024,3.0,True,новостройка,2 с/у и более,клубный дом 44,,Алматы
4,110.0,,,37000000,,,2024,3.0,True,новостройка,совмещенный,частный дом,,Жана Куат
3,105.0,,,87150000,бостандыкский,,2024,3.0,True,новостройка,2 с/у и более,aqtolqyn grand,предчистовая отделка,Алматы
2,69.0,13.0,7.0,31700000,алатауский,,2018,2.8,False,хозяин недвижимости,2 с/у и более,,,Алматы
4,73.0,4.0,3.0,54000000,ауэзовский,,1971,2.6,False,крыша агент,раздельный,,евроремонт,Алматы
2,50.0,6.0,6.0,18000000,наурызбайский,,2022,2.9,False,крыша агент,,alma city,дргуой ремонт,Алматы
1,46.6,13.0,9.0,24500000,алмалинский,,2024,3.0,False,крыша агент,,new life,,Алматы
1,40.0,10.0,9.0,25500000,алатауский,,2018,2.8,False,крыша агент,совмещенный,акниет,качественный ремонт,Алматы
