numrooms,squaremeters,numberoffloors,floor,price,district,street,builtyear,ceilinghight,isnewbuilding,seller,bathroomtype,residentialcomplex,repaired,city
2,52.0,14.0,4.0,21890000,есильский,,2023,2.85,False,крыша агент,,табысты,,Астана
1,44.0,,,18015758,есильский,,2024,3.0,True,новостройка,совмещенный,dastur,,Астана
1,41.75,,,18620500,есильский,,2024,2.7,True,новостройка,совмещенный,jetisu.aqsu,,Астана
3,86.0,,,38700000,алматинский,,2023,3.0,True,новостройка,2 с/у и более,inju ansar,,Астана
3,108.19,,,58475500,,,2023,3.0,True,новостройка,2 с/у и более,sensata plaza,,Астана
4,125.0,,,67500000,нуринский,,2024,3.0,True,новостройка,2 с/у и более,evolution,,Астана
3,69.04,,,47430480,есильский,,2022,3.0,True,новостройка,2 с/у и более,бигвилль поколение,,Астана
4,185.01,,,163363830,есильский,,2025,3.0,True,новостройка,2 с/у и более,parkside,,Астана
2,60.0,8.0,4.0,40000000,,,2017,3.0,False,крыша агент,совмещенный,expo plaza,,Астана
1,44.0,5.0,2.0,24999000,есильский,,2015,2.7,False,крыша агент,совмещенный,comfort town,,Астана
3,80.0,17.0,6.0,36000000,есильский,,2023,3.0,False,крыша агент,2 с/у и более,turan palace,,Астана
3,84.38,7.0,2.0,19450000,есильский,,2024,2.7,False,крыша агент,2 с/у и более,aviator ii,черновая отделка,Астана
2,39.0,17.0,14.0,28000000,есильский,,2023,3.0,False,крыша агент,совмещенный,бухар жырау,дизайнерский ремонт,Астана
1,39.88,,,10568200,алматинский,,2025,2.7,True,новостройка,совмещенный,tasty,,Астана
2,57.6,10.0,7.0,29000000,,,2022,,False,специалист,,люксембург,черновая отделка,Астана
1,40.0,9.0,9.0,15500000,алматинский,,2004,2.8,False,специалист,,,,Астана
1,30.0,5.0,5.0,11500000,алматинский,,1975,2.5,False,крыша агент,совмещенный,,,Астана
1,24.0,9.0,6.0,18500000,есильский,,2021,2.7,False,крыша агент,,коркем 4,дргуой ремонт,Астана
2,74.0,12.0,2.0,26500000,алматинский,,2012,2.7,False,крыша агент,раздельный,турсын астана,,Астана
5,135.0,10.0,1.0,76000000,есильский,,2022,3.0,False,крыша агент,2 с/у и более,mechta,евроремонт,Астана
2,48.65,,,22476300,есильский,,2023,2.65,True,новостройка,совмещенный,mod.standard,,Астана
